"exp_id","date","rep_id","time","strain","dox","OD0","OD"
9,2025-03-20,2,4,"h1471",0,0.01,0.059
9,2025-03-20,1,4,"t1516",512,0.01,0.181
9,2025-03-20,1,4,"t1516",256,0.01,0.18
9,2025-03-20,1,4,"t1516",128,0.01,0.193
9,2025-03-20,1,4,"t1516",64,0.01,0.183
9,2025-03-20,1,4,"t1516",32,0.01,0.182
9,2025-03-20,1,4,"t1516",16,0.01,0.188
9,2025-03-20,1,4,"t1516",8,0.01,0.183
9,2025-03-20,1,4,"t1516",4,0.01,0.187
9,2025-03-20,1,4,"t1516",2,0.01,0.195
9,2025-03-20,1,4,"t1516",1,0.01,0.183
9,2025-03-20,1,4,"t1516",0,0.01,0.19
9,2025-03-20,2,4,"t1516",512,0.01,0.185
9,2025-03-20,2,4,"t1516",256,0.01,0.184
9,2025-03-20,2,4,"t1516",128,0.01,0.185
9,2025-03-20,2,4,"t1516",64,0.01,0.185
9,2025-03-20,2,4,"t1516",32,0.01,0.184
9,2025-03-20,2,4,"t1516",16,0.01,0.183
9,2025-03-20,2,4,"t1516",8,0.01,0.184
9,2025-03-20,2,4,"t1516",4,0.01,0.184
9,2025-03-20,2,4,"t1516",2,0.01,0.186
9,2025-03-20,2,4,"t1516",1,0.01,0.186
9,2025-03-20,2,4,"t1516",0,0.01,0.192
9,2025-03-20,1,4,"t1516",512,0.05,0.21
9,2025-03-20,1,4,"t1516",256,0.05,0.237
9,2025-03-20,1,4,"t1516",128,0.05,0.24
9,2025-03-20,1,4,"t1516",64,0.05,0.233
9,2025-03-20,1,4,"t1516",32,0.05,0.246
9,2025-03-20,1,4,"t1516",16,0.05,0.225
9,2025-03-20,1,4,"t1516",8,0.05,0.249
9,2025-03-20,1,4,"t1516",4,0.05,0.226
9,2025-03-20,1,4,"t1516",2,0.05,0.263
9,2025-03-20,1,4,"t1516",1,0.05,0.25
9,2025-03-20,1,4,"t1516",0,0.05,0.248
9,2025-03-20,2,4,"t1516",512,0.05,0.203
9,2025-03-20,2,4,"t1516",256,0.05,0.226
9,2025-03-20,2,4,"t1516",128,0.05,0.228
9,2025-03-20,2,4,"t1516",64,0.05,0.245
9,2025-03-20,2,4,"t1516",32,0.05,0.236
9,2025-03-20,2,4,"t1516",16,0.05,0.256
9,2025-03-20,2,4,"t1516",8,0.05,0.243
9,2025-03-20,2,4,"t1516",4,0.05,0.234
9,2025-03-20,2,4,"t1516",2,0.05,0.247
9,2025-03-20,2,4,"t1516",1,0.05,0.239
9,2025-03-20,2,4,"t1516",0,0.05,0.247
9,2025-03-20,1,4,"t1516",512,0.1,0.266
9,2025-03-20,1,4,"t1516",256,0.1,0.277
9,2025-03-20,1,4,"t1516",128,0.1,0.284
9,2025-03-20,1,4,"t1516",64,0.1,0.295
9,2025-03-20,1,4,"t1516",32,0.1,0.283
9,2025-03-20,1,4,"t1516",16,0.1,0.314
9,2025-03-20,1,4,"t1516",8,0.1,0.287
9,2025-03-20,1,4,"t1516",4,0.1,0.287
9,2025-03-20,1,4,"t1516",2,0.1,0.315
9,2025-03-20,1,4,"t1516",1,0.1,0.284
9,2025-03-20,1,4,"t1516",0,0.1,0.334
9,2025-03-20,2,4,"t1516",512,0.1,0.047
9,2025-03-20,2,4,"t1516",256,0.1,0.059
9,2025-03-20,2,4,"t1516",128,0.1,0.1
9,2025-03-20,2,4,"t1516",64,0.1,0.083
9,2025-03-20,2,4,"t1516",32,0.1,0.139
9,2025-03-20,2,4,"t1516",16,0.1,0.113
9,2025-03-20,2,4,"t1516",8,0.1,0.084
9,2025-03-20,2,4,"t1516",4,0.1,0.127
9,2025-03-20,2,4,"t1516",2,0.1,0.103
9,2025-03-20,2,4,"t1516",1,0.1,0.104
9,2025-03-20,2,4,"t1516",0,0.1,0.111
9,2025-03-20,1,5,"h1471",512,0.01,0.006
9,2025-03-20,1,5,"h1471",256,0.01,0.009
9,2025-03-20,1,5,"h1471",128,0.01,0.011
9,2025-03-20,1,5,"h1471",64,0.01,0.011
9,2025-03-20,1,5,"h1471",32,0.01,0.014
9,2025-03-20,1,5,"h1471",16,0.01,0.027
9,2025-03-20,1,5,"h1471",8,0.01,0.034
9,2025-03-20,1,5,"h1471",4,0.01,0.026
9,2025-03-20,1,5,"h1471",2,0.01,0.018
9,2025-03-20,1,5,"h1471",1,0.01,0.02
9,2025-03-20,1,5,"h1471",0,0.01,0.042
9,2025-03-20,2,5,"h1471",512,0.01,0.011
9,2025-03-20,2,5,"h1471",256,0.01,0.011
9,2025-03-20,2,5,"h1471",128,0.01,0.014
9,2025-03-20,2,5,"h1471",64,0.01,0.027
9,2025-03-20,2,5,"h1471",32,0.01,0.034
9,2025-03-20,2,5,"h1471",16,0.01,0.026
9,2025-03-20,2,5,"h1471",8,0.01,0.018
9,2025-03-20,2,5,"h1471",4,0.01,0.02
9,2025-03-20,2,5,"h1471",2,0.01,0.042
9,2025-03-20,2,5,"h1471",1,0.01,0.073
9,2025-03-20,2,5,"h1471",0,0.01,0.096
9,2025-03-20,1,5,"t1516",512,0.01,0.18
9,2025-03-20,1,5,"t1516",256,0.01,0.179
9,2025-03-20,1,5,"t1516",128,0.01,0.191
9,2025-03-20,1,5,"t1516",64,0.01,0.183
9,2025-03-20,1,5,"t1516",32,0.01,0.183
9,2025-03-20,1,5,"t1516",16,0.01,0.19
9,2025-03-20,1,5,"t1516",8,0.01,0.186
9,2025-03-20,1,5,"t1516",4,0.01,0.192
9,2025-03-20,1,5,"t1516",2,0.01,0.201
9,2025-03-20,1,5,"t1516",1,0.01,0.186
9,2025-03-20,1,5,"t1516",0,0.01,0.2
9,2025-03-20,2,5,"t1516",512,0.01,0.184
9,2025-03-20,2,5,"t1516",256,0.01,0.185
9,2025-03-20,2,5,"t1516",128,0.01,0.186
9,2025-03-20,2,5,"t1516",64,0.01,0.185
9,2025-03-20,2,5,"t1516",32,0.01,0.186
9,2025-03-20,2,5,"t1516",16,0.01,0.184
9,2025-03-20,2,5,"t1516",8,0.01,0.184
9,2025-03-20,2,5,"t1516",4,0.01,0.187
9,2025-03-20,2,5,"t1516",2,0.01,0.192
9,2025-03-20,2,5,"t1516",1,0.01,0.192
9,2025-03-20,2,5,"t1516",0,0.01,0.203
9,2025-03-20,1,5,"t1516",512,0.05,0.217
9,2025-03-20,1,5,"t1516",256,0.05,0.265
9,2025-03-20,1,5,"t1516",128,0.05,0.272
9,2025-03-20,1,5,"t1516",64,0.05,0.264
9,2025-03-20,1,5,"t1516",32,0.05,0.277
9,2025-03-20,1,5,"t1516",16,0.05,0.249
9,2025-03-20,1,5,"t1516",8,0.05,0.287
9,2025-03-20,1,5,"t1516",4,0.05,0.245
9,2025-03-20,1,5,"t1516",2,0.05,0.309
9,2025-03-20,1,5,"t1516",1,0.05,0.288
9,2025-03-20,1,5,"t1516",0,0.05,0.289
9,2025-03-20,2,5,"t1516",512,0.05,0.211
9,2025-03-20,2,5,"t1516",256,0.05,0.251
9,2025-03-20,2,5,"t1516",128,0.05,0.251
9,2025-03-20,2,5,"t1516",64,0.05,0.276
9,2025-03-20,2,5,"t1516",32,0.05,0.265
9,2025-03-20,2,5,"t1516",16,0.05,0.303
9,2025-03-20,2,5,"t1516",8,0.05,0.274
9,2025-03-20,2,5,"t1516",4,0.05,0.262
9,2025-03-20,2,5,"t1516",2,0.05,0.284
9,2025-03-20,2,5,"t1516",1,0.05,0.272
9,2025-03-20,2,5,"t1516",0,0.05,0.292
9,2025-03-20,1,5,"t1516",512,0.1,0.293
9,2025-03-20,1,5,"t1516",256,0.1,0.331
9,2025-03-20,1,5,"t1516",128,0.1,0.342
9,2025-03-20,1,5,"t1516",64,0.1,0.347
9,2025-03-20,1,5,"t1516",32,0.1,0.342
9,2025-03-20,1,5,"t1516",16,0.1,0.38
9,2025-03-20,1,5,"t1516",8,0.1,0.346
9,2025-03-20,1,5,"t1516",4,0.1,0.344
9,2025-03-20,1,5,"t1516",2,0.1,0.384
9,2025-03-20,1,5,"t1516",1,0.1,0.341
9,2025-03-20,1,5,"t1516",0,0.1,0.427
